period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
last,ASSnone_HCR8_REClow_INNvar_OERnone,ASSnone,HCR8,REClow,INNvar,OERnone,3036505.445,6969611.293,15954441.24,7628743.523,7036466.562,0.73,0.995,0.754,0.0022,0.016,0.006,0.4971,0.0243,0.0883,1.00E-04,0.0194
last,ASSnone_HCR8_REClowmed_INNvar_OERnone,ASSnone,HCR8,REClowmed,INNvar,OERnone,4408284.505,12293079.33,34178433.09,14095496.44,12440812.66,0.0139,0.079,0.018,1.00E-04,0.001,0.001,0.8597,0.3072,0.4968,0.0243,0.2773
last,ASSnone_HCR8_RECmix_INNvar_OERnone,ASSnone,HCR8,RECmix,INNvar,OERnone,4183024.068,11858687.68,33739572.42,13705141.28,11827208.26,0.0613,0.134,0.066,1.00E-04,0.001,0.001,0.8367,0.2886,0.4715,0.0231,0.2602
last,ASSnone_HCR9_REClow_INNvar_OERnone,ASSnone,HCR9,REClow,INNvar,OERnone,3036505.445,6969611.293,15954441.24,7628742.822,7036466.562,0.7331,0.997,0.761,0.0022,0.016,0.006,0.4971,0.0243,0.0883,1.00E-04,0.0194
last,ASSnone_HCR9_REClowmed_INNvar_OERnone,ASSnone,HCR9,REClowmed,INNvar,OERnone,4408284.505,12288909.68,34105729.54,14090170.45,12440812.66,0.0185,0.109,0.023,1.00E-04,0.001,0.001,0.8597,0.3071,0.4965,0.0242,0.2771
last,ASSnone_HCR9_RECmix_INNvar_OERnone,ASSnone,HCR9,RECmix,INNvar,OERnone,4121113.255,11742490.22,33639319.22,13602498.23,11721720.84,0.0782,0.169,0.087,3.00E-04,0.001,0.001,0.83,0.2841,0.4653,0.0228,0.2562
last,ASSss3_HCR0_REClow_INNvar_OERnaq,ASSss3,HCR0,REClow,INNvar,OERnaq,3010274.82,7035926.179,15961609.63,7677292.173,6931554.34,0.8337,1,0.859,0.0416,0.242,0.061,0.5046,0.0247,0.0893,0,0.0172
last,ASSss3_HCR0_REClowmed_INNvar_OERnaq,ASSss3,HCR0,REClowmed,INNvar,OERnaq,4378309.664,12303485.62,34381546.17,14121829.15,12137197.6,0.0466,0.224,0.06,2.00E-04,0.002,0.002,0.8602,0.3118,0.497,0.0251,0.2849
last,ASSss3_HCR0_RECmix_INNvar_OERnaq,ASSss3,HCR0,RECmix,INNvar,OERnaq,3869000.074,11003847.3,32490507.76,12884035.09,11133542.47,0.1999,0.343,0.21,0.0053,0.035,0.009,0.7945,0.2561,0.4179,0.0202,0.2319
last,ASSss3_HCR10_REClow_INNvar_OERnaq,ASSss3,HCR10,REClow,INNvar,OERnaq,3026938.5,7049920.508,15961609.63,7661367.189,7055953.786,0.8559,0.998,0.873,0.0553,0.268,0.071,0.5071,0.0247,0.0849,0,0.0187
