"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"catch";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"P_B1plus_0.8Blim";"P_B1plus_0.8Blow";"firstyear_B1plus_0.8Blim";"firstyear_B1plus_0.8Blow";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"short";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";334421.176359478;364592.469316335;508572.274911098;718406.543164257;785969.412398311;528646.967892488;556268.83368736;64993.7237243348;1.0478133975548;0.985;1;2021;2021;0.0542;1e-04;0.279;0.001;0.162;0.001;0.542;0.496666666666667;2024;0.001;0.001;2021;0;0;0;0.0518163866894589;0.0764195981203165;0.104490939546398;25529.1883279813;40000;40000;37736.7634352334;3720.36953250064;2025.36102757251;1.03397268708467
"short";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch45";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch45";332532.157536834;362170.956175058;502763.509823431;710943.624176976;776530.888702285;522900.891499753;544580.559424625;65177.9399431691;1.04599755690256;0.985;1;2021;2021;0.0574;1e-04;0.292;0.001;0.162;0.001;0.574;0.520166666666667;2024;0.001;0.001;2021;0;0;0;0.0571391669667519;0.0841402577593541;0.113548960053968;25252.8719628912;45000;45000;41153.5454998456;5516.94165948135;3150.64589260739;1.0483764686419
"short";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch50";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch50";330815.727806172;360293.16576715;497519.372154463;704127.379168771;768871.872638053;518009.203730189;534592.473779496;65428.8558021289;1.04440297406259;0.985;1;2021;2021;0.0597;1e-04;0.307;0.001;0.162;0.001;0.597;0.541166666666667;2024;0.001;0.001;2021;0;0;0;0.0612956436635867;0.0910600931571984;0.121909021231347;25168.6184316659;50000;50000;44115.5455517692;7380.24342417287;4398.2671984665;1.06249741571045
"short";"ASSnone_HCR8_RECmix_INNvar_OERnone_catch50";"ASSnone";"HCR8";"RECmix";"INNvar";"OERnone";"catch50";258541.996904527;278165.407628344;450056.675230905;676019.084089577;744463.215882329;466128.064903094;496778.022530574;56398.9240393481;1.03579370826366;0.893;1;2021;2021;0.243;8e-04;0.436;0.004;0.319;0.002;2.43;2.29566666666667;NA;0.008;0.008;2021;0;0;0;0.0567832520915126;0.0874916500779239;0.123394254060246;16248.2151736283;45439.5536365361;50000;39363.2271602853;7848.12199968976;4802.97111576494;1.04655216484179
"short";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch40";206001.906666049;223701.435512918;299280.547676133;392855.718567657;424722.054699633;305423.715589468;267951.355320385;32102.4190336492;0.976321596685875;0.836;1;2021;2021;0.7066;0.0306;0.989;0.158;0.854;0.074;7.066;5.99653333333333;NA;0.306;0.286;2021;0;0;0;0.0830899174751181;0.141079436358171;0.208311101203769;29804.293079208;40000;40000;38868.694517758;3122.58636263989;1086.06492206259;1.05289800553252
"short";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch45";192086.805444105;210434.068767021;290206.152564705;389958.295461827;422689.269869515;296794.05003741;253378.203572812;32557.4739451214;0.970592974420052;0.794;1;2021;2021;0.7353;0.0606;0.991;0.27;0.905;0.141;7.353;6.3775;NA;0.606;0.565166666666667;2021;0;0;0;0.0851338713760385;0.165097449308676;0.258445874772215;29702.8712482325;45000;45000;43293.3046016716;4386.68207857226;1511.46622823169;1.06649079206438
"short";"ASSss3_HCR8_REClow_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";"catch50";185524.011587643;204511.837117186;286564.499568365;389983.507262804;425315.60760874;293469.688505227;243769.267828096;33535.2505287936;0.965943520172941;0.796;0.999;2021;2021;0.7464;0.0759;0.997;0.319;0.912;0.183;7.464;6.516;NA;0.759;0.707666666666667;2021;0;0;0;0.0851840812543723;0.187526729830905;0.303210574641173;29510.1043882123;50000;50000;47552.083677658;5735.94036089135;1956.66617716451;1.07805510182752
"short";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch40";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch40";320882.869823623;355352.839505801;506145.181031253;711761.492843778;782045.187333467;522436.803172277;554054.072846676;63345.1616490786;1.04568925491363;0.979;1;2021;2021;0.0731;0.0013;0.302;0.004;0.186;0.002;0.731;0.645333333333333;2027;0.013;0.013;2021;0;0;0;0.0501567134788652;0.0787893121728285;0.12296768268567;28567.3067366631;40000;40000;38665.3508783249;3260.98676219375;1136.85738322628;1.05194465893971
"short";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch45";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch45";314759.875198255;349272.279742612;497999.208305939;703664.781927933;771347.790519294;514335.775577461;533006.097407392;63660.8775677317;1.04109906495228;0.975;0.999;2021;2021;0.0809;0.0021;0.325;0.006;0.19;0.004;0.809;0.715;2030;0.021;0.0195;2021;0;0;0;0.0546516100284249;0.0892122747428641;0.141364030761615;28310.2203052009;45000;45000;42932.159576541;4581.80579941988;1591.43394870793;1.0644271473269
"short";"ASSss3_HCR8_REClowmed_INNvar_OERnaq_catch50";"ASSss3";"HCR8";"REClowmed";"INNvar";"OERnaq";"catch50";310780.523804644;345202.52217329;494203.50181237;696647.219727193;761962.065020906;509992.558896376;525075.942487012;64272.2858417004;1.04025506402171;0.978;1;2021;2021;0.0863;0.0029;0.336;0.009;0.187;0.005;0.863;0.759666666666667;NA;0.029;0.025;2021;0;0;0;0.0584051256466618;0.0986846570202428;0.159512046480792;28416.7857995063;50000;50000;46996.933030931;6085.3037646997;2071.56675092996;1.07521699763042
"last";"ASSnone_HCR8_REClowmed_INNvar_OERnone_catch40";"ASSnone";"HCR8";"REClowmed";"INNvar";"OERnone";"catch40";386033.496379403;416619.231184932;564943.037134602;769481.956950366;840947.250472984;581881.239271366;562931.317308689;66477.4759663663;1.01100276098156;0;0;2061;2061;0.0139;1e-04;0.079;0.001;0.018;0.001;0.139;0.133;2061;0.001;0.001;2061;0;0;0;0.0498642018345355;0.0722659100164063;0.0989025035070881;34587.4634982877;40000;40000;39327.5306383441;1171.86701264021;697.498376445903;1.00293720953478
