"Rec";"Fmsy";"FmsyUpper";"FmsyLower";"Catch"
"REClow";"0.22";0.24054054054054;0.164054054054054;45364.4221359244
"RECmed";"0.24";0.279259259259259;0.192172172172172;79981.0212906444
