"Rec";"Fmsy";"FmsyUpper";"FmsyLower";"Fp05";"Fp05Lower";"Catch"
"REClow";0.17;0.17;0.152542542542543;0.092;0.0859159159159159;30775.9385141731
"RECmed";0.2;0.2;0.186486486486487;0.111;0.103303303303303;54725.5781456917
